time,total_airflow,t1_valve_pct,t1_n2o,t1_nh4,t1_no3,t1_do,t1_do_sp,t1_airflow,t1_ss,t1_temp,t1_po4,inflow,t1_phase,phasecode,inlet_tank,outlet_tank,storm_mode,total_airflow_q,t1_valve_pct_q,t1_n2o_q,t1_nh4_q,t1_no3_q,t1_do_q,t1_do_sp_q,t1_phase_q,t1_airflow_q,t1_ss_q,t1_temp_q,phasecode_q,inlet_tank_q,outlet_tank_q,t1_po4_q,inflow_q,storm_mode_q,segment_id
2023-11-07 15:00:00,19891.03359375,0.0,0.0063657406717538,1.308784177247435,2.7560587167739867,0.0759548619389534,0.0,0.0,2.4103114128112795,15.511067390441896,0.3815608322620392,4938.078694661458,1.0,1112.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-11-07 15:10:00,12406.9333984375,4.840000152587891,0.0063657406717538,2.562498977128416,2.2506181478500364,0.0750506371259689,0.4186029999999999,207.2087662414837,2.387006092071533,15.52508306503296,0.5383672297000885,4132.06853376116,1.0,1112.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-11-07 15:20:00,17284.5666015625,75.51999893188477,0.0045138899236917,3.7705066704191266,1.7178576469421387,0.3023726878066857,1.0540554,2771.0612542510917,2.3955383777618406,15.527344131469729,0.7257572412490845,2177.0833129882812,2.0,1222.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-11-07 15:30:00,23845.823046875,90.13999786376954,0.0042824085801839,4.865893366280943,1.36742045879364,0.6428132317960262,1.1426116,3704.7405663515287,2.4156760215759276,15.529152870178226,0.918303883075714,2206.7901475694443,2.0,2221.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-11-07 15:40:00,21152.3375,98.1999969482422,0.0048611119389533,7.599895193520934,1.3887619495391843,1.1919126085937024,1.437374,4680.869271760169,2.369191312789917,15.53403549194336,0.9880147218704224,4757.291613769531,2.0,2221.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-11-07 15:50:00,16627.4833984375,80.13999862670899,0.0071759268641471,6.834765531960874,1.6776790142059326,2.0704571418464184,1.5,4426.690988921678,2.3874126434326173,15.52824783325195,0.8951263070106507,5530.208276367188,2.0,2221.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-11-07 16:00:00,11428.05,65.27999954223633,0.009375000745058,6.621595385018736,2.3106682538986205,1.0981807224452496,1.5,2773.151884795402,2.4030036449432375,15.528428840637208,0.7774461388587952,5561.535373263889,2.0,2221.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-11-07 16:10:00,17879.1333984375,98.4000015258789,0.0159722229465842,6.546186449471861,2.836971640586853,1.2552083067595958,1.5,3947.916822473264,2.3875123023986817,15.528067207336424,0.6080620646476745,2231.163232421875,2.0,2221.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-11-07 16:20:00,21651.583203125,62.58000030517578,0.0166666673496365,6.546186449471861,3.2191234827041626,2.3117765597999096,1.4975200000000002,4301.908248674054,2.4079607486724854,15.52752456665039,0.5167405724525451,2368.4027587890623,2.0,2221.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-11-07 16:30:00,11975.8998046875,57.51999969482422,0.0200231489026919,6.546186449471861,3.824560284614563,0.7552806846797466,1.4600719999999998,2088.138565663553,2.4246114253997804,15.52119483947754,0.4204725980758666,6757.899365234375,2.0,2221.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-11-07 16:40:00,20916.08359375,96.89999847412108,0.0225694451946764,6.546186449471861,4.2336222410202025,1.4741030029952529,1.413836,4234.052959201797,2.380997467041015,15.519747734069824,0.351476627588272,5774.652734375,2.0,2122.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-11-07 16:50:00,22143.916796875,43.159999465942384,0.021875000768341,5.3410732292570176,4.514099335670471,2.0057870082557203,1.35368,3572.344844983266,2.384486770629883,15.519747734069824,0.3073947727680206,5161.371533203125,2.0,2122.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-11-07 17:00:00,13973.9333984375,17.420000076293945,0.0212962969439103,0.4341455959714948,5.007775235176086,0.5147569485008716,0.2476996,916.8196531493876,2.450273132324219,15.519747734069824,0.2632691979408264,3826.47568359375,1.0,1112.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-11-07 17:10:00,21267.083203125,0.0,0.0101851861923932,0.2942235701717435,5.245295548439026,0.0833333358168601,0.0,0.0,2.4338520526885987,15.52318458557129,0.2333778738975524,2528.208349609375,1.0,1112.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-11-07 17:20:00,15820.6501953125,0.0,0.0065972227603196,0.183468707744032,4.8540634393692015,0.0791196497157216,0.0,0.0,2.443212795257568,15.521240234375,0.2247148156166076,6941.7303466796875,1.0,1112.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-11-07 17:30:00,19660.199609375,0.0,0.0063657406717538,0.1686503016389905,4.277871441841126,0.0751591436564921,0.0,0.0,2.466218042373657,15.53692855834961,0.2471667647361755,5978.81953125,1.0,1112.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-11-07 17:40:00,14390.6830078125,0.0,0.0063657406717538,0.3423671268858014,3.541180157661438,0.0749602150171995,0.0,0.0,2.4677102088928224,15.543800354003906,0.3398106098175048,5781.59736328125,1.0,1112.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-11-07 17:50:00,18552.03359375,0.0,0.0063657406717538,0.805548479501158,2.9092113256454466,0.0750868059694766,0.0,0.0,2.478158140182495,15.55447006225586,0.5747330188751221,2173.958349609375,1.0,1112.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-11-07 18:00:00,28810.933984375,0.0,0.0060185186564921,1.7708207392133772,2.3460479974746704,0.0750868059694766,0.202365,0.0,2.450243616104126,15.55537452697754,0.7953964233398437,2238.281229654948,1.0,1112.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-11-07 18:10:00,27628.63359375,62.41999969482422,0.0039351861923932,1.5295457386411726,1.8437463998794557,0.828269661962986,1.0020003,4663.187261502373,2.460924434661865,15.55573616027832,1.0380799651145936,5559.79140625,2.0,1222.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-11-07 18:20:00,14847.783203125,60.55999984741211,0.0055555563420056,0.9854472422040998,1.5565245389938354,0.4346607364714145,1.0,2531.789464679046,2.4216350078582765,15.565863800048827,1.1477912187576294,5270.1390625,2.0,1222.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-11-07 18:30:00,24375.505859375,97.6999969482422,0.0042824085801839,2.183820488397032,1.6601739406585694,0.4654947891831398,1.005789,4038.544578230533,2.4044538021087645,15.576895332336424,1.1570966482162477,4601.7361328125,2.0,2221.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-11-07 18:40:00,32809.478515625,95.63999786376954,0.0052083339542149,2.417776300851256,1.6088467359542846,1.1606626085937024,1.01402,5156.197081344185,2.4092623233795165,15.577618980407715,1.1943265438079833,2230.555517578125,2.0,2221.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-11-07 18:50:00,28572.466015625,40.45999946594238,0.0074074082076549,2.999341394845396,1.8947798490524292,1.7515914849936962,1.0286849,3932.082893922338,2.4385471820831297,15.571470069885256,1.173589873313904,2712.152880859375,2.0,2221.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-11-07 19:00:00,12804.466796875,62.57999954223633,0.009837963618338,2.284100439492613,2.37083683013916,0.4673755817115307,1.0278283,2467.615964939556,2.4457913875579833,15.5754487991333,1.0117376089096068,6384.02783203125,2.0,2221.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-11-07 19:10:00,22446.422265625,90.74000091552736,0.0100694449618458,1.8401895069517196,2.58080894947052,1.5115921907126904,1.0,4324.14570638098,2.398773431777954,15.572555541992188,0.8014504075050354,5192.2741292317705,2.0,2221.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-11-07 19:20:00,29916.911328125,36.72000007629394,0.0109953708946704,2.1308157944120465,2.91121723651886,1.5220630936324595,1.001573,3849.2823803408983,2.3553255558013917,15.571831893920898,0.6630906462669373,874.652734375,2.0,2221.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-11-07 19:30:00,15418.3013671875,38.51999969482422,0.0175925933755934,2.0718359016813337,3.4175521612167357,0.6497395806014538,1.0148579,2226.7314330146205,2.4291120052337645,15.570023536682127,0.5426237344741821,558.4490763346354,2.0,2221.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-11-07 19:40:00,15716.5330078125,70.35999908447266,0.0178240748587995,1.6191495680250227,3.8210689306259153,0.5156973533332347,0.4,2076.088076064659,2.4424993991851807,15.562970733642578,0.4340764999389648,4993.055615234375,2.0,1112.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-11-07 19:50:00,23314.933203125,0.0,0.0113425935618579,1.3643278860487045,3.898603463172913,0.5116102509200573,0.0,0.0,2.388205862045288,15.564417266845703,0.3659628033638,5271.18056640625,1.0,1112.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-11-07 20:00:00,26167.79296875,0.0,0.0064814817160367,2.170583250466734,3.704118323326111,0.0767505794763564,0.0,0.0,2.397084617614746,15.566225624084472,0.3357303261756897,2705.20830078125,1.0,1112.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-11-07 20:10:00,16935.499609375,0.0,0.0062499999999999,3.3979532265104355,3.065828537940979,0.0751591436564921,0.216614,0.0,2.4183038234710694,15.562970733642578,0.3338491916656494,2230.902685546875,1.0,1112.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-11-07 20:20:00,23614.423828125,63.49999923706055,0.0042824085801839,4.583074762765318,2.506710934638977,0.3263165526092052,1.2125302000000002,3082.3813079910924,2.472799205780029,15.56152400970459,0.4763476490974426,3128.12509765625,2.0,1122.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-11-07 20:30:00,30368.99765625,79.0999984741211,0.0043981492519378,2.738068582955748,2.262556362152099,1.1292679719626904,1.0832168,5105.404317445535,2.4792939186096192,15.558087348937988,0.6535676479339599,4991.6666015625,2.0,1122.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-11-07 20:40:00,21279.14921875,58.08000030517578,0.0059027783572673,1.6363592647947371,2.4063045978546143,1.255859386175871,1.0073175,4075.276329894096,2.4556533336639403,15.563151741027832,0.7346072435379029,4932.98623046875,2.0,1222.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-11-07 20:50:00,15213.86640625,84.86000061035156,0.0060185194015502,1.090490546170622,2.6229690313339233,0.2068865709006785,1.0,2604.7541618956006,2.431998538970947,15.563151741027832,0.7068596482276917,3307.638916015625,2.0,1222.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-11-07 21:00:00,27573.276171875,96.5999984741211,0.0043981492519378,1.0777466082014144,2.730825400352478,0.7041377358138561,1.0,5012.430964694428,2.435848617553711,15.563332748413083,0.7501038789749146,2181.7129923502603,2.0,2221.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-11-07 21:10:00,21512.2609375,69.48000030517578,0.0068287044763564,1.6003066563047468,2.781921458244324,1.6973380021750928,1.0,4265.2784903226,2.416244554519653,15.563875198364258,0.7747069954872131,2178.47216796875,2.0,2221.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
