,total_airflow,t1_valve_pct,t1_n2o,t1_nh4,t1_no3,t1_do,t1_do_sp,t1_airflow,t1_ss,t1_temp,t1_po4,inflow,t1_phase,phasecode,inlet_tank,outlet_tank,storm_mode,total_airflow_q,t1_valve_pct_q,t1_n2o_q,t1_nh4_q,t1_no3_q,t1_do_q,t1_do_sp_q,t1_phase_q,t1_airflow_q,t1_ss_q,t1_temp_q,phasecode_q,inlet_tank_q,outlet_tank_q,t1_po4_q,inflow_q,storm_mode_q,segment_id
2022-12-28 03:00:00+00:00,3006.6860229492186,0.0,0.0,1.9684151911176744,3.3786470174789427,0.1976996503770351,,0.0,4.25458345413208,13.199870109558104,2.325358724594116,2422.222265625,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,2
2022-12-28 03:10:00+00:00,3770.52236328125,21.5,0.0,2.4010170959867536,2.8342488527297975,0.1977719865739345,1.038072173950218,392.0026966359874,4.2627866744995115,13.209634971618652,2.6918263912200926,2397.916650390625,2.0,2221.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2022-12-28 03:20:00+00:00,4695.66025390625,79.0999984741211,0.0,2.5279671692289414,2.3657840490341187,0.1997251115739345,1.0316771544956027,1150.241591436488,4.337793254852295,13.210358810424804,2.8641310691833497,2354.861083984375,2.0,2221.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2022-12-28 03:30:00+00:00,9685.033203125,97.38000183105468,0.0,2.5284070991910994,2.0717360258102415,0.2798755876719951,1.0262150835196178,2417.2373591410214,4.363045787811279,13.192998313903807,3.0948685646057132,2377.777734375,2.0,2221.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2022-12-28 03:40:00+00:00,21440.2625,98.3000030517578,0.0,2.527703096810728,2.0346623420715333,0.7112992040812969,1.0261394879477366,4281.960035979531,4.324041366577148,13.193179321289062,3.0509303569793707,1827.43056640625,2.0,2222.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2022-12-28 03:50:00+00:00,18313.205078125,92.30000152587893,0.0,3.154297163430601,2.1970873355865477,1.0090422324836257,1.105815679379872,3352.017813510475,4.2802637100219725,13.18576431274414,2.69067211151123,0.0,2.0,2222.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2022-12-28 04:00:00+00:00,25015.578515625,96.5999984741211,0.0,3.3125251793302595,2.9614365816116335,0.896412032097578,1.11043347739038,4452.553854780898,4.27881441116333,13.184678840637208,2.52811484336853,0.0,2.0,2222.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2022-12-28 04:10:00+00:00,22384.5798828125,96.5999984741211,0.0001157410442829,2.64894719356671,3.5541720151901246,1.831235497444868,1.006859934227807,4672.400149389666,4.293781661987305,13.177082443237303,2.5077571868896484,0.0,2.0,2222.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2022-12-28 04:20:00+00:00,17146.499609375,96.5999984741211,0.004050926491618,2.2370791220106185,4.487343811988831,1.2027633242309093,0.8051091125465575,3397.103155825172,4.303637504577637,13.177082443237303,2.1676004409790037,0.0,2.0,2122.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2022-12-28 04:30:00+00:00,15312.2333984375,33.17999954223633,0.0084490746259689,1.4711491369642318,5.216416001319885,0.7044994108378887,0.0,1647.8899071386718,4.337861728668213,13.177082443237303,1.9408292770385749,0.0,1.0,1112.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2022-12-28 04:40:00+00:00,8837.86650390625,0.0,0.0,1.0286183618940412,5.313596653938293,0.2059461824595927,0.0,0.0,4.293447780609131,13.179253196716308,1.4570113182067872,1066.3194702148437,1.0,1112.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2022-12-28 04:50:00+00:00,5949.3392578125,0.0,0.0,0.7184869551099836,5.184857583045959,0.201027201861143,,0.0,4.319243049621582,13.16876449584961,1.3664243698120118,2435.763916015625,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,2
2022-12-28 05:00:00+00:00,11054.1998046875,0.0,0.0,0.8855891489423809,4.775513100624084,0.1984230302274226,,0.0,4.24744815826416,13.17256202697754,1.602944874763489,2459.722216796875,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,2
2022-12-28 05:10:00+00:00,6020.24482421875,0.0,0.0,0.9198531531728804,4.621518158912659,0.1977719865739345,,0.0,4.300016212463379,13.174008560180663,1.647884488105774,2418.055517578125,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,2
2022-12-28 05:20:00+00:00,8024.4166015625,0.0,0.0,1.1551329516805708,3.9622141122817993,0.1977719865739345,,0.0,4.373698997497558,13.17057285308838,1.9706548690795895,2466.31943359375,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,2
2022-12-28 05:30:00+00:00,6103.2666015625,0.0,0.0,1.5712191605009138,3.4404794931411744,0.1977719865739345,,0.0,4.338037109375,13.17798728942871,2.181942939758301,2469.097216796875,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,2
