timestamp,total_airflow,t1_valve_pct,t1_n2o,t1_nh4,t1_no3,t1_do,t1_do_sp,t1_airflow,t1_ss,t1_temp,t1_po4,inflow,t1_phase,phasecode,inlet_tank,outlet_tank,storm_mode,total_airflow_q,t1_valve_pct_q,t1_n2o_q,t1_nh4_q,t1_no3_q,t1_do_q,t1_do_sp_q,t1_phase_q,t1_airflow_q,t1_ss_q,t1_temp_q,phasecode_q,inlet_tank_q,outlet_tank_q,t1_po4_q,inflow_q,storm_mode_q,segment_id
2022-06-12 00:30:00+00:00,10645.85,,0.1296296302229164,2.237255146447569,1.0036103129386902,0.5998263947665692,1.1511697172891526,,1.4720983505249023,,0.492121946811676,,2.0,2221.0,2.0,2.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,1.0,,0.0,1
2022-06-12 00:40:00+00:00,13524.93359375,,0.1899305541068314,2.543607189599425,1.3464338064193726,0.8505497746169567,1.3499613209679011,,1.455091404914856,,0.4314925372600555,,2.0,2222.0,2.0,2.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,1.0,,0.0,1
2022-06-12 00:50:00+00:00,12919.6501953125,,0.2439814824610947,1.6285871767438949,1.5849076986312869,1.3741319589316845,0.4605476296288625,,1.4584750652313232,,0.3279831409454345,,2.0,1112.0,1.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,1.0,,0.0,1
2022-06-12 01:00:00+00:00,14189.1,,0.2972222167998551,1.4201931738294662,1.9712769746780396,0.8935908786952496,,,1.48962881565094,,0.2627358049154281,,1.0,,,,,1.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,1.0,,,1
2022-06-12 01:10:00+00:00,13977.600390625,,0.4106481511145829,0.848688378278166,2.2742430925369264,0.1103153951466083,0.0,,1.458784317970276,,0.2175834536552429,,1.0,1212.0,1.0,2.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,0.0,1.0,,0.0,1
2022-06-12 01:20:00+00:00,18271.0498046875,,0.488310183957219,0.8238261484540998,1.8712642669677737,0.0987413190305233,0.4094261257989066,,1.480070853233337,,0.2046300858259201,,1.0,1212.0,1.0,2.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,0.0,1.0,,0.0,1
2022-06-12 01:30:00+00:00,22530.3982421875,,0.5597222287207841,1.0368781589902938,1.4017791152000427,0.0988136582076549,1.0503494755086442,,1.4666759729385377,,0.2294953227043152,,1.0,1222.0,1.0,2.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,0.0,1.0,,0.0,1
2022-06-12 01:40:00+00:00,9680.1001953125,,0.5532407362014055,0.9571021580137312,1.012459433078766,0.0954861119389534,1.008138571239653,,1.47564435005188,,0.2243149608373641,,1.0,2221.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,0.0,1.0,,0.0,1
2022-06-12 01:50:00+00:00,12184.03359375,,0.4741898138076066,1.0742171549238264,0.6368945106863976,0.0954861119389534,1.031751595576604,,1.484926438331604,,0.2326656877994536,,1.0,2221.0,2.0,2.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,0.0,1.0,,0.0,1
2022-06-12 02:00:00+00:00,19276.95,,0.2067129587754606,1.9631431602872909,0.3821161717176437,0.0954861119389534,1.309215905689058,,1.4609305620193482,,0.4159827291965484,,1.0,2221.0,2.0,2.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,0.0,1.0,,0.0,1
