,total_airflow,t1_valve_pct,t1_n2o,t1_nh4,t1_no3,t1_do,t1_do_sp,t1_airflow,t1_ss,t1_temp,t1_po4,inflow,t1_phase,phasecode,inlet_tank,outlet_tank,storm_mode,total_airflow_q,t1_valve_pct_q,t1_n2o_q,t1_nh4_q,t1_no3_q,t1_do_q,t1_do_sp_q,t1_phase_q,t1_airflow_q,t1_ss_q,t1_temp_q,phasecode_q,inlet_tank_q,outlet_tank_q,t1_po4_q,inflow_q,storm_mode_q,segment_id
2023-06-29 12:10:00+00:00,20778.0830078125,15.75,0.2922453600913285,0.1968596600927411,2.313892364501953,0.1898871548473834,,979.323774320646,2.7324124574661255,20.296222686767575,0.2118998765945434,2185.763916015625,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,3
2023-06-29 12:20:00+00:00,14602.5333984375,24.22000093460083,0.2719907421618699,0.3402403616346418,1.5860458612442017,0.3517071686685085,,1669.411939003026,2.7020678997039793,20.30255393981934,0.2380016446113586,2214.930517578125,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,3
2023-06-29 12:30:00+00:00,20009.6333984375,0.0,0.1629629617556928,0.3994391583837567,1.020826804637909,0.1901765070855617,,0.0,2.50502347946167,20.30418205261231,0.4627707779407501,2212.152783203125,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,3
2023-06-29 12:40:00+00:00,23699.2828125,0.0,0.0195601859362795,0.5658671640790998,0.723814582824707,0.18815104290843,,0.0,2.1071065425872804,20.30454292297363,0.441160237789154,2203.819482421875,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,,,0.0,0.0,,3
2023-06-29 12:50:00+00:00,17296.03359375,35.820000076293944,0.0174768526107072,0.7538103603757917,0.3899699583649635,0.2170138947665691,,1910.9473651487067,1.5510370016098023,20.310330200195313,0.6844695746898651,2228.81943359375,2.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,,,0.0,0.0,,3
2023-06-29 13:00:00+00:00,25222.273046875,79.93999938964843,0.0215277785435318,0.7826903604902327,0.4531740501523018,0.4993489556014537,,3954.682169117166,2.6454325199127195,20.31937255859375,1.1585551619529724,2249.30556640625,2.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,3
2023-06-29 13:10:00+00:00,34741.7640625,96.6,0.0254629637347533,0.866155543271452,0.6307223320007325,0.8364438705146313,,5125.276804890492,2.769708204269409,20.328053283691407,1.4418370008468628,2227.77783203125,2.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,3
2023-06-29 13:20:00+00:00,35494.19609375,95.36000061035156,0.0431712968274949,0.6748333715833723,0.6896398723125458,1.220775454491377,,5289.729741550377,2.73059606552124,20.34541320800781,1.157517671585083,2227.08330078125,2.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,3
2023-06-29 13:30:00+00:00,33205.38046875,81.81999969482422,0.072916668280959,0.6132159494794904,1.0996652603149415,1.3546007566154004,,5000.8108819453155,2.805197811126709,20.3559024810791,0.7470558166503907,2268.402783203125,2.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,3
2023-06-29 13:40:00+00:00,28049.97265625,60.380000305175784,0.1120370361953972,0.3934237563051282,1.447473978996277,1.2235243014991284,,4943.333999650427,2.721840238571167,20.36223220825195,0.4505360245704651,2246.527783203125,2.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,3
