lookback,horizon,baseline,baseline_no_n2o,extended,extended_no_n2o
12,1,0.8813982009887695,-0.787250280380249,0.9109290838241576,-0.4731690883636474
12,3,0.6633531451225281,-0.6705656051635742,0.7432896494865417,-0.4725819826126098
12,6,0.5944223403930664,-0.372957706451416,0.4987863302230835,-0.3541189432144165
12,12,0.2494918704032898,-0.2869969606399536,0.3506547808647156,-0.4192875623703003
24,1,0.868740439414978,-0.9971669912338256,0.8504852652549744,-0.6700986623764038
24,3,0.6651337146759033,-1.0462028980255127,0.6750897169113159,-0.2815178632736206
24,6,0.5568562746047974,-0.5728965997695923,0.4781608581542969,-0.2584090232849121
24,12,0.3840049505233764,-0.5224573612213135,0.3134070038795471,-0.3809159994125366
