lookback,horizon,baseline,baseline_no_n2o,extended,extended_no_n2o
12,1,0.0496604270024488,0.1927780023283647,0.0430360816515181,0.1750213782416619
12,3,0.0836316230133435,0.1863009239031303,0.0730306144455321,0.1749133619355524
12,6,0.0917988736361183,0.1688997118934587,0.1020497089311396,0.1677369469959374
12,12,0.1249066056097817,0.1635672952126169,0.1161837866665822,0.1717682582844577
24,1,0.0522925736107547,0.2039772458183925,0.0558105765782341,0.1865286601668561
24,3,0.0835081225648274,0.2064274133232797,0.0822573593937642,0.1633636200680296
24,6,0.096108710861144,0.1810675162798022,0.1042938667749343,0.1619576122952247
24,12,0.113311200457694,0.1781380857713788,0.1196282951183668,0.1696554594718881
