target,horizon,precision,recall,f1
absolute,1,0.8820754716981132,0.8779342723004695,0.88
absolute,3,0.6931818181818182,0.2863849765258216,0.4053156146179402
absolute,6,0.7464788732394366,0.24882629107981222,0.3732394366197183
absolute,12,0.6390977443609023,0.39906103286384975,0.4913294797687861
