lookback,horizon,baseline,baseline_no_n2o,extended,extended_no_n2o
12,1,0.2602537274360657,0.2076572775840759,0.3020961284637451,0.2286810874938964
12,3,0.3865612149238586,0.2956686019897461,0.3949484825134277,0.2816233038902282
12,6,0.2980077266693115,0.1103286147117614,0.2866863012313843,0.1845626235008239
12,12,0.1602575182914734,0.0706787109375,0.1668567657470703,0.1000623703002929
24,1,0.2968350052833557,0.1824390292167663,0.268426239490509,0.1731542348861694
24,3,0.3512369990348816,0.0678821802139282,0.3432321548461914,0.2669494152069092
24,6,0.2859302163124084,0.2672917246818542,0.2296954989433288,0.2051717042922973
24,12,0.1526330709457397,0.1146976947784423,0.1842045187950134,0.0702601671218872
