lookback,horizon,baseline,baseline_no_n2o,extended,extended_no_n2o
12,1,0.0341099845781084,0.0353017847769721,0.0331312586892923,0.0348302926202553
12,3,0.0604547233879239,0.0647788379257395,0.0600400174883389,0.0654215380589582
12,6,0.0838114905184558,0.0943522431318328,0.0844846286999163,0.0903301445016483
12,12,0.1070092730339279,0.1125722351889575,0.1065879662070485,0.1107782663379355
24,1,0.0333196125314763,0.0359278630339632,0.0339860249124319,0.0361312997991071
24,3,0.0622830929747863,0.0746556242303422,0.0626661580473363,0.0662055066787475
24,6,0.084613288835543,0.0857104531652507,0.087881903745497,0.0892698680490914
24,12,0.1075757138876174,0.1099573537943841,0.1055526488000464,0.1126832056401513
